,news,link
30,Hatay'da deprem: 5.1'le sallandı | 2023 son depremler,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmFoYWJlci5jb20udHIveWFzYW0vMjAyMy8wMi8xNi9oYXRheWRhLWRlcHJlbS01MWxlLXNhbGxhbmRpLTIwMjMtc29uLWRlcHJlbWxlctIBXmh0dHBzOi8vd3d3LmFoYWJlci5jb20udHIveWFzYW0vMjAyMy8wMi8xNi9oYXRheWRhLWRlcHJlbS01MWxlLXNhbGxhbmRpLTIwMjMtc29uLWRlcHJlbWxlci9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
31,Deprem bölgesinde çalışmak için gelen madenciden duygulandıran sözler! Sosyal medya bunu konuşuyor... 'Bizim için vazgeçmek yok',news.google.com/./articles/CBMinQFodHRwczovL3d3dy5teW5ldC5jb20vZGVwcmVtLWJvbGdlc2luZGUtY2FsaXNtYWstaWNpbi1nZWxlbi1tYWRlbmNpZGVuLWR1eWd1bGFuZGlyYW4tc296bGVyLXNvc3lhbC1tZWR5YS1idW51LWtvbnVzdXlvci1iaXppbS1pY2luLXZhemdlY21lay15b2stMTEwMTA3MDk3NzI10gGhAWh0dHBzOi8vd3d3Lm15bmV0LmNvbS9hbXAvZGVwcmVtLWJvbGdlc2luZGUtY2FsaXNtYWstaWNpbi1nZWxlbi1tYWRlbmNpZGVuLWR1eWd1bGFuZGlyYW4tc296bGVyLXNvc3lhbC1tZWR5YS1idW51LWtvbnVzdXlvci1iaXppbS1pY2luLXZhemdlY21lay15b2stMTEwMTA3MDk3NzI1?hl=tr&gl=TR&ceid=TR%3Atr
32,"Canlı yayında çarpıcı diyalog! AFAD Deprem Müdürü 'Müdahalede geç kalmadık' deyince, sunucu hemen devreye girdi",news.google.com/./articles/CBMiYGh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vaGFiZXIvaGFiZXItY2FubGkteWF5aW5kYS1jYXJwaWNpLWRpeWFsb2ctYWZhZC1kZXByZW0tbXVkdXJ1LTE1NjQwMzcyL9IBXmh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vYW1wL2hhYmVyLWNhbmxpLXlheWluZGEtY2FycGljaS1kaXlhbG9nLWFmYWQtZGVwcmVtLW11ZHVydS0xNTY0MDM3Mi8?hl=tr&gl=TR&ceid=TR%3Atr
33,TEKNOFEST İzmir deprem nedeniyle ertelendi,news.google.com/./articles/CBMiWGh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvdGVrbm9mZXN0LWl6bWlyLWRlcHJlbS1uZWRlbml5bGUtZXJ0ZWxlbmRpLTIwNTI0OTnSAVxodHRwczovL3d3dy5jdW1odXJpeWV0LmNvbS50ci9hbXAvdHVya2l5ZS90ZWtub2Zlc3QtaXptaXItZGVwcmVtLW5lZGVuaXlsZS1lcnRlbGVuZGktMjA1MjQ5OQ?hl=tr&gl=TR&ceid=TR%3Atr
34,Son dakika deprem haberleri: Fay hattı havadan görüntülendi! İTÜ'lü deprem bilimci Prof. Dr. Akyüz:...,news.google.com/./articles/CBMifmh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vZmF5LWhhdHRpLWhhdmFkYW4tZ29ydW50dWxlbmRpLWl0dS1sdS1kZXByZW0tYmlsaW1jaS1wcm9mLWRyLWFreXV6LW5hcmxpLWZheWkteWluZS1raXJpbGFjYWstMzU2NjEwOdIBgAFodHRwczovL20uaGFiZXJ0dXJrLmNvbS9mYXktaGF0dGktaGF2YWRhbi1nb3J1bnR1bGVuZGktaXR1LWx1LWRlcHJlbS1iaWxpbWNpLXByb2YtZHItYWt5dXotbmFybGktZmF5aS15aW5lLWtpcmlsYWNhay0zNTY2MTA5LWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
35,"Prof. Dr. Cenk Yaltırak'ın 6 Şubat depremlerinden sonra ""İstanbul’da 2026’ya kadar deprem olacak"" dediği iddiası",news.google.com/./articles/CBMihQFodHRwczovL3RleWl0Lm9yZy9hbmFsaXotcHJvZi1kci1jZW5rLXlhbHRpcmFraW4ta2FocmFtYW5tYXJhcy1kZXByZW1pbmRlbi1zb25yYS1pc3RhbmJ1bGRhLTIwMjZ5YS1rYWRhci1kZXByZW0tb2xhY2FrLWRlZGlnaS1pZGRpYXNp0gEA?hl=tr&gl=TR&ceid=TR%3Atr
36,Depremlerde can kaybı 36 bini aştı - BLOOMBERG HT,news.google.com/./articles/CBMiRGh0dHBzOi8vbS5ibG9vbWJlcmdodC5jb20vZGVwcmVtbGVyZGUtY2FuLWtheWJpLTM2LWJpbmktYXN0aS0yMzI1MzY30gFKaHR0cHM6Ly93d3cuYmxvb21iZXJnaHQuY29tL2RlcHJlbWxlcmRlLWNhbi1rYXliaS0zNi1iaW5pLWFzdGktMjMyNTM2Ny1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
37,Kahramanmaraş'ın deprem öncesi ve sonrası görüntüleri ortaya çıktı,news.google.com/./articles/CBMiY2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2d1bmRlbS9rYWhyYW1hbm1hcmFzaW4tZGVwcmVtLW9uY2VzaS12ZS1zb25yYXNpLWdvcnVudHVsZXJpLW9ydGF5YS1jaWt0adIBZ2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2FtcC9ndW5kZW0va2FocmFtYW5tYXJhc2luLWRlcHJlbS1vbmNlc2ktdmUtc29ucmFzaS1nb3J1bnR1bGVyaS1vcnRheWEtY2lrdGk?hl=tr&gl=TR&ceid=TR%3Atr
38,Son dakika: Depremde 248. saatte bir mucize daha! Kahramanmaraş'ta 17 yaşındaki Aleyna sağ kurtarıldı,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9ndW5kZW0vc29uLWRha2lrYS1kZXByZW1kZS0yNDgtc2FhdHRlLWJpci1tdWNpemUtZGFoYS00MjIyMDc3M9IBXmh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9hbXAvZ3VuZGVtL3Nvbi1kYWtpa2EtZGVwcmVtZGUtMjQ4LXNhYXR0ZS1iaXItbXVjaXplLWRhaGEtNDIyMjA3NzM?hl=tr&gl=TR&ceid=TR%3Atr
39,Depremin Türkiye ekonomisine maliyeti ne kadar olacak?,news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2Vrb25vbWkvZGVwcmVtaW4tdHVya2l5ZS1la29ub21pc2luZS1tYWxpeWV0aS1uZS1rYWRhci1vbGFjYWstNzU5MzY1Mi_SAWhodHRwczovL3d3dy5zb3pjdS5jb20udHIvMjAyMy9la29ub21pL2RlcHJlbWluLXR1cmtpeWUtZWtvbm9taXNpbmUtbWFsaXlldGktbmUta2FkYXItb2xhY2FrLTc1OTM2NTIvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
40,"""Bana 'İstanbul'da şöyle yakışıklı deprem olsun' dedi"" Prof. Dr. Övgün Ahmet Ercan’dan Prof. Dr. Celal Şengör için şok sözler 'Büyük depremlerin taraftarıdır'",news.google.com/./articles/CBMipAFodHRwczovL3d3dy5teW5ldC5jb20vYmFuYS1pc3RhbmJ1bC1kYS1zb3lsZS15YWtpc2lrbGktZGVwcmVtLW9sc3VuLWRlZGktcHJvZi1kci1vdmd1bi1haG1ldC1lcmNhbi1kYW4tcHJvZi1kci1jZWxhbC1zZW5nb3ItaWNpbi1zb2stc296bGVyLWJ1eXVrLWRlcHJlLTExMDEwNzA5NzczMdIBqAFodHRwczovL3d3dy5teW5ldC5jb20vYW1wL2JhbmEtaXN0YW5idWwtZGEtc295bGUteWFraXNpa2xpLWRlcHJlbS1vbHN1bi1kZWRpLXByb2YtZHItb3ZndW4tYWhtZXQtZXJjYW4tZGFuLXByb2YtZHItY2VsYWwtc2VuZ29yLWljaW4tc29rLXNvemxlci1idXl1ay1kZXByZS0xMTAxMDcwOTc3MzE?hl=tr&gl=TR&ceid=TR%3Atr
41,Deprem bölgesinde oluşan yeryüzü hareketleri incelendi,news.google.com/./articles/CBMiZGh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9kZXByZW0tYm9sZ2VzaW5kZS1vbHVzYW4teWVyeXV6dS1oYXJla2V0bGVyaS1pbmNlbGVuZGktZ2FsZXJpLTE2MDQwMjbSAWhodHRwczovL3d3dy5nYXpldGVkdXZhci5jb20udHIvYW1wL2RlcHJlbS1ib2xnZXNpbmRlLW9sdXNhbi15ZXJ5dXp1LWhhcmVrZXRsZXJpLWluY2VsZW5kaS1nYWxlcmktMTYwNDAyNg?hl=tr&gl=TR&ceid=TR%3Atr
42,DEPREM SON DAKİKA | Ölü ve yaralı sayısı kaç oldu 16 Şubat? - Kahramanmaraş depreminde 11. gün son dakika haberleri,news.google.com/./articles/CBMinAFodHRwczovL3d3dy5mb3RvbWFjLmNvbS50ci9oYWJlcmxlci8yMDIzLzAyLzE2L2RlcHJlbS1zb24tZGFraWthLW9sdS12ZS15YXJhbGktc2F5aXNpLWthYy1vbGR1LTE2LXN1YmF0LWthaHJhbWFubWFyYXMtZGVwcmVtaW5kZS0xMS1ndW4tc29uLWRha2lrYS1oYWJlcmxlcmnSAaABaHR0cHM6Ly93d3cuZm90b21hYy5jb20udHIvaGFiZXJsZXIvMjAyMy8wMi8xNi9kZXByZW0tc29uLWRha2lrYS1vbHUtdmUteWFyYWxpLXNheWlzaS1rYWMtb2xkdS0xNi1zdWJhdC1rYWhyYW1hbm1hcmFzLWRlcHJlbWluZGUtMTEtZ3VuLXNvbi1kYWtpa2EtaGFiZXJsZXJpL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
43,İnşaat Mühendisleri Odası'ndan deprem raporu: Binlerce bina neden çöktü?,news.google.com/./articles/CBMigQFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS90dXJraXllL2luc2FhdC1tdWhlbmRpc2xlcmktb2Rhc2luZGFuLWRlcHJlbS1yYXBvcnViaW5sZXJjZS1iaW5hLW5lZGVuLWNva3R1LFI2X2hNVTJ5QTBpVHRWemhIN0hRelHSAYUBaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvZ2FsZXJpL3R1cmtpeWUvaW5zYWF0LW11aGVuZGlzbGVyaS1vZGFzaW5kYW4tZGVwcmVtLXJhcG9ydWJpbmxlcmNlLWJpbmEtbmVkZW4tY29rdHUsUjZfaE1VMnlBMGlUdFZ6aEg3SFF6UQ?hl=tr&gl=TR&ceid=TR%3Atr
44,"11. gün! Depremde ölü sayısı ne kadar oldu, güncel yaralı sayısı kaç? Hangi ilde kaç bina yıkıldı, kaç kişi öldü?",news.google.com/./articles/CBMijQFodHRwczovL3d3dy5jbm50dXJrLmNvbS90dXJraXllL2hhYmVybGVyLWRlcHJlbWRlLW9sdS1zYXlpc2ktbmUta2FkYXItb2xkdS1ndW5jZWwteWFyYWxpLXNheWlzaS1rYWMtaGFuZ2ktaWxkZS1rYWMtYmluYS15aWtpbGRpLWthYy1raXNpLW9sZHXSAZEBaHR0cHM6Ly93d3cuY25udHVyay5jb20vYW1wL3R1cmtpeWUvaGFiZXJsZXItZGVwcmVtZGUtb2x1LXNheWlzaS1uZS1rYWRhci1vbGR1LWd1bmNlbC15YXJhbGktc2F5aXNpLWthYy1oYW5naS1pbGRlLWthYy1iaW5hLXlpa2lsZGkta2FjLWtpc2ktb2xkdQ?hl=tr&gl=TR&ceid=TR%3Atr
45,Son Dakika... Hatay'da 5.1 büyüklüğünde deprem!,news.google.com/./articles/CBMiV2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvc29uLWRha2lrYS1oYXRheWRhLTUxLWJ1eXVrbHVndW5kZS1kZXByZW0tMjA1MjUwMNIBW2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC90dXJraXllL3Nvbi1kYWtpa2EtaGF0YXlkYS01MS1idXl1a2x1Z3VuZGUtZGVwcmVtLTIwNTI1MDA?hl=tr&gl=TR&ceid=TR%3Atr
46,Depremde 25 akrabasını kaybeden Kahtalı Mıçe: Yaşadığıma sevinemiyorum,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vZGVwcmVtZGUtMjUtYWtyYWJhc2luaS1rYXliZWRlbi1rYWh0YWxpLW1pY2UteWFzYWRpZ2ltYS1zZXZpbmVtaXlvcnVtLTY5MDQ5MDjSAXRodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvYW1wL2d1bmRlbS9kZXByZW1kZS0yNS1ha3JhYmFzaW5pLWtheWJlZGVuLWthaHRhbGktbWljZS15YXNhZGlnaW1hLXNldmluZW1peW9ydW0tNjkwNDkwOA?hl=tr&gl=TR&ceid=TR%3Atr
47,"Son Dakika: AFAD duyurdu: Hatay Arsuz'da 5,1 şiddetinde deprem! Adana ve Mersin'de de hissedildi",news.google.com/./articles/CBMigAFodHRwczovL3d3dy5teW5ldC5jb20vc29uLWRha2lrYS1hZmFkLWR1eXVyZHUtaGF0YXktYXJzdXotZGEtNS0xLXNpZGRldGluZGUtZGVwcmVtLWFkYW5hLXZlLW1lcnNpbi1kZS1kZS1oaXNzZWRpbGRpLTExMDEwNzA5NzgyNNIBhAFodHRwczovL3d3dy5teW5ldC5jb20vYW1wL3Nvbi1kYWtpa2EtYWZhZC1kdXl1cmR1LWhhdGF5LWFyc3V6LWRhLTUtMS1zaWRkZXRpbmRlLWRlcHJlbS1hZGFuYS12ZS1tZXJzaW4tZGUtZGUtaGlzc2VkaWxkaS0xMTAxMDcwOTc4MjQ?hl=tr&gl=TR&ceid=TR%3Atr
48,Bakan Kirişci açıklama yaparken deprem oldu,news.google.com/./articles/CBMiWWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS9iYWthbi1raXJpc2NpLWFjaWtsYW1hLXlhcGFya2VuLWRlcHJlbS1vbGR1LTc1OTQwODUv0gFdaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZ3VuZGVtL2Jha2FuLWtpcmlzY2ktYWNpa2xhbWEteWFwYXJrZW4tZGVwcmVtLW9sZHUtNzU5NDA4NS9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
49,"7.7 ve 7.6’lık iki deprem oldu, burada tek bir tabak bile kırılmadı",news.google.com/./articles/CBMib2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS83LTctdmUtNy02bGlrLWlraS1kZXByZW0tb2xkdS1idXJhZGEtdGVrLWJpci10YWJhay1iaWxlLWtpcmlsbWFkaS03NTkyOTg5L9IBc2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS83LTctdmUtNy02bGlrLWlraS1kZXByZW0tb2xkdS1idXJhZGEtdGVrLWJpci10YWJhay1iaWxlLWtpcmlsbWFkaS03NTkyOTg5L2FtcC8?hl=tr&gl=TR&ceid=TR%3Atr
50,Deprem felaketiyle dalga geçen DJ Ant Payne’e şikayet yağmış: Kovulmadı ama…,news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2R1bnlhL2RlcHJlbS1mZWxha2V0aXlsZS1kYWxnYS1nZWNlbi1kai1hbnQtcGF5bmVlLXNpa2F5ZXQteWFnbWlzLWtvdnVsbWFkaS1hbWEtNzU5MzE0My_SAXpodHRwczovL3d3dy5zb3pjdS5jb20udHIvMjAyMy9kdW55YS9kZXByZW0tZmVsYWtldGl5bGUtZGFsZ2EtZ2VjZW4tZGotYW50LXBheW5lZS1zaWtheWV0LXlhZ21pcy1rb3Z1bG1hZGktYW1hLTc1OTMxNDMvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
51,Deprem anında yüzme havuzunda yaşanan dalgalanma kamerada,news.google.com/./articles/CBMibmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bnVuLWljaW5kZW4vZGVwcmVtLWFuaW5kYS15dXptZS1oYXZ1enVuZGEteWFzYW5hbi1kYWxnYWxhbm1hLWthbWVyYWRhLTc1OTI4Nzkv0gEA?hl=tr&gl=TR&ceid=TR%3Atr
52,"Son dakika: Hatay Arsuz'da 5,1 büyüklüğünde artçı deprem",news.google.com/./articles/CBMiVmh0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci95YXNhbS9zb24tZGFraWthLWhhdGF5LWFyc3V6ZGEtNTEtYnV5dWtsdWd1bmRlLWRlcHJlbS02MzYyNDgz0gFYaHR0cHM6Ly9tLnNhYmFoLmNvbS50ci95YXNhbS9zb24tZGFraWthLWhhdGF5LWFyc3V6ZGEtNTEtYnV5dWtsdWd1bmRlLWRlcHJlbS02MzYyNDgzL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
53,ABD dün açıkladı: Deprem sonrasında kritik görüşme hakkında çarpıcı analiz,news.google.com/./articles/CBMidmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2R1bnlhL2FiZC1kdW4tYWNpa2xhZGktZGVwcmVtLXNvbnJhc2luZGEta3JpdGlrLWdvcnVzbWUtaGFra2luZGEtY2FycGljaS1hbmFsaXotNzU5MzI0Mi_SAXpodHRwczovL3d3dy5zb3pjdS5jb20udHIvMjAyMy9kdW55YS9hYmQtZHVuLWFjaWtsYWRpLWRlcHJlbS1zb25yYXNpbmRhLWtyaXRpay1nb3J1c21lLWhha2tpbmRhLWNhcnBpY2ktYW5hbGl6LTc1OTMyNDIvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
54,‘Deprem bölgesinde konut inşası için 4 milyon ton inşaat demirini 4 ayda karşılarız’,news.google.com/./articles/CBMigQFodHRwczovL3d3dy5zb3pjdS5jb20udHIvMjAyMy9la29ub21pL2RlcHJlbS1ib2xnZXNpbmRlLWtvbnV0LWluc2FzaS1pY2luLTQtbWlseW9uLXRvbi1pbnNhYXQtZGVtaXJpbmktNC1heWRhLWthcnNpbGFyaXotNzU5MzMzMi_SAYUBaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZWtvbm9taS9kZXByZW0tYm9sZ2VzaW5kZS1rb251dC1pbnNhc2ktaWNpbi00LW1pbHlvbi10b24taW5zYWF0LWRlbWlyaW5pLTQtYXlkYS1rYXJzaWxhcml6LTc1OTMzMzIvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
55,ABD medyasından deprem ile ilgili çarpıcı yorum,news.google.com/./articles/CBMiXGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2R1bnlhL2FiZC1tZWR5YXNpbmRhbi1kZXByZW0taWxlLWlsZ2lsaS1jYXJwaWNpLXlvcnVtLTc1OTM1Mzgv0gFgaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyLzIwMjMvZHVueWEvYWJkLW1lZHlhc2luZGFuLWRlcHJlbS1pbGUtaWxnaWxpLWNhcnBpY2kteW9ydW0tNzU5MzUzOC9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
56,Kırılan fay havadan görüntülendi! Deprem bilimcilerden dikkat çeken sözler: 5 fay parçası kırıldı,news.google.com/./articles/CBMihQFodHRwczovL3d3dy5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL2tpcmlsYW4tZmF5LWhhdmFkYW4tZ29ydW50dWxlbmRpLWRlcHJlbS1iaWxpbWNpbGVyZGVuLWRpa2thdC1jZWtlbi1zb3psZXItNS1mYXktcGFyY2FzaS1raXJpbGRp0gGHAWh0dHBzOi8vbS5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL2tpcmlsYW4tZmF5LWhhdmFkYW4tZ29ydW50dWxlbmRpLWRlcHJlbS1iaWxpbWNpbGVyZGVuLWRpa2thdC1jZWtlbi1zb3psZXItNS1mYXktcGFyY2FzaS1raXJpbGRpL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
57,Son Dakika... AFAD duyurdu: Akdeniz'de 4.7 büyüklüğünde deprem,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvc29uLWRha2lrYS1hZmFkLWR1eXVyZHUtYWtkZW5pemRlLTQ3LWJ1eXVrbHVndW5kZS1kZXByZW0tMjA1MjM2M9IBamh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC90dXJraXllL3Nvbi1kYWtpa2EtYWZhZC1kdXl1cmR1LWFrZGVuaXpkZS00Ny1idXl1a2x1Z3VuZGUtZGVwcmVtLTIwNTIzNjM?hl=tr&gl=TR&ceid=TR%3Atr
58,Garanti BBVA'dan deprem yardımlarına ilişkin açıklama,news.google.com/./articles/CBMiYmh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2Vrb25vbWkvZ2FyYW50aS1iYnZhZGFuLWRlcHJlbS15YXJkaW1sYXJpbmEtaWxpc2tpbi1hY2lrbGFtYS0yMDUyNDgw0gFmaHR0cHM6Ly93d3cuY3VtaHVyaXlldC5jb20udHIvYW1wL2Vrb25vbWkvZ2FyYW50aS1iYnZhZGFuLWRlcHJlbS15YXJkaW1sYXJpbmEtaWxpc2tpbi1hY2lrbGFtYS0yMDUyNDgw?hl=tr&gl=TR&ceid=TR%3Atr
59,Deprem bölgesinde artçı sarsıntılar sürüyor! 15 Şubat 2023 Çarşamba AFAD ve Kandilli son depremler listesi...,news.google.com/./articles/CBMimwFodHRwczovL3d3dy5oYWJlcnR1cmsuY29tL3Nvbi1kYWtpa2EtZGVwcmVtbGVyLWxpc3Rlc2ktMTUtc3ViYXQtYWZhZGthbmRpbGxpLXNvbi1kZXByZW1sZXItbGlzdGVzaS1pbGUtYXotb25jZS1kZXByZW0tbWktb2xkdS1uZXJlZGUta2FjLXNpZGRldGluZGUtMzU2NTc3NtIBnQFodHRwczovL20uaGFiZXJ0dXJrLmNvbS9zb24tZGFraWthLWRlcHJlbWxlci1saXN0ZXNpLTE1LXN1YmF0LWFmYWRrYW5kaWxsaS1zb24tZGVwcmVtbGVyLWxpc3Rlc2ktaWxlLWF6LW9uY2UtZGVwcmVtLW1pLW9sZHUtbmVyZWRlLWthYy1zaWRkZXRpbmRlLTM1NjU3NzYtYW1w?hl=tr&gl=TR&ceid=TR%3Atr
60,1 milyon TL yerine 800 bin... Deprem yardımları vergiden düşecek iddiasına yanıt geldi: 'Yaygın ama yanlış' diyerek örnek verdi,news.google.com/./articles/CBMirgFodHRwczovL2ZpbmFucy5teW5ldC5jb20vaGFiZXIvZGV0YXkvZWtvbm9taS8xLW1pbHlvbi10bC15ZXJpbmUtODAwLWJpbi1kZXByZW0teWFyZGltbGFyaS12ZXJnaWRlbi1kdXNlY2VrLWlkZGlhc2luYS15YW5pdC1nZWxkaS15YXlnaW4tYW1hLXlhbmxpcy1kaXllcmVrLW9ybmVrLXZlcmRpLzQ2MTAzNi_SAaEBaHR0cHM6Ly93d3cubXluZXQuY29tL2FtcC8xLW1pbHlvbi10bC15ZXJpbmUtODAwLWJpbi1kZXByZW0teWFyZGltbGFyaS12ZXJnaWRlbi1kdXNlY2VrLWlkZGlhc2luYS15YW5pdC1nZWxkaS15YXlnaW4tYW1hLXlhbmxpcy1kaXllcmVrLW9ybmVrLXZlcmRpLWZpbmFucy00NjEwMzY?hl=tr&gl=TR&ceid=TR%3Atr
61,Dünya Bankası hesapladı: Depreme dayanıklı bina maliyeti 465 milyar dolar,news.google.com/./articles/CBMifWh0dHBzOi8vd3d3Lm50di5jb20udHIvbnR2cGFyYS9kdW55YS1iYW5rYXNpLWhlc2FwbGFkaWRlcHJlbWUtZGF5YW5pa2xpLWJpbmEtbWFsaXlldGktNDY1LW1pbHlhci1kb2xhciwydzVkMVY0eUhrTzZoNTc0UV95aHFR0gGBAWh0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL250dnBhcmEvZHVueWEtYmFua2FzaS1oZXNhcGxhZGlkZXByZW1lLWRheWFuaWtsaS1iaW5hLW1hbGl5ZXRpLTQ2NS1taWx5YXItZG9sYXIsMnc1ZDFWNHlIa082aDU3NFFfeWhxUQ?hl=tr&gl=TR&ceid=TR%3Atr
62,İmamoğlu’ndan çarpıcı deprem çıkışı: Hükümete söylüyorum; yeter artık!,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci8yMDIzL2d1bmRlbS9pbWFtb2dsdW5kYW4tY2FycGljaS1kZXByZW0tY2lraXNpLWh1a3VtZXRlLXNveWx1eW9ydW0teWV0ZXItYXJ0aWstNzU5MjgwNi_SAXRodHRwczovL3d3dy5zb3pjdS5jb20udHIvMjAyMy9ndW5kZW0vaW1hbW9nbHVuZGFuLWNhcnBpY2ktZGVwcmVtLWNpa2lzaS1odWt1bWV0ZS1zb3lsdXlvcnVtLXlldGVyLWFydGlrLTc1OTI4MDYvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
63,Hatay’da 5.1 büyüklüğünde deprem,news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LnllbmljYWdnYXpldGVzaS5jb20udHIvaGF0YXlkYS01MS1idXl1a2x1Z3VuZGUtZGVwcmVtLTYzMDc0OGguaHRt0gFZaHR0cHM6Ly93d3cueWVuaWNhZ2dhemV0ZXNpLmNvbS50ci9zZXJ2aWNlL2FtcC9oYXRheWRhLTUxLWJ1eXVrbHVndW5kZS1kZXByZW0tNjMwNzQ4aC5odG0?hl=tr&gl=TR&ceid=TR%3Atr
64,Son dakika: Deprem felaketinde tarım alanları için flaş açıklama! Sulu ovalar ve kayma... - Haberler,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1kZXByZW0tZmVsYWtldGluZGUtY29rLWNhcnBpY2ktdGFyaW0tYWxhbmxhcmktYWNpa2xhbWFzaS0zNTY2MTMz0gFnaHR0cHM6Ly9tLmhhYmVydHVyay5jb20vc29uLWRha2lrYS1kZXByZW0tZmVsYWtldGluZGUtY29rLWNhcnBpY2ktdGFyaW0tYWxhbmxhcmktYWNpa2xhbWFzaS0zNTY2MTMzLWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
65,"TÜRKİYE DEPREM RİSK HARİTASI AFAD || Doğu Anadolu Fay hattı hangi illerden geçiyor, başka kaç fay hattı var? 1.2.3. derece riskli deprem bölgeleri",news.google.com/./articles/CBMiswFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvZ2FsZXJpL2FmYWQtdHVya2l5ZS1kZXByZW0tcmlzay1oYXJpdGFzaS0yMDIzLXR1cmtpeWVkZS1rYWMtZmF5LWhhdHRpLXZhci1kb2d1LWFuYWRvbHUtZmF5LWhhdHRpLWhhbmdpLWlsbGVyZGVuLWdlY2l5b3Itcmlza2xpLWRlcHJlbS1ib2xnZWxlcmktNjkwNDUzMtIBtwFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvYW1wL2dhbGVyaS9hZmFkLXR1cmtpeWUtZGVwcmVtLXJpc2staGFyaXRhc2ktMjAyMy10dXJraXllZGUta2FjLWZheS1oYXR0aS12YXItZG9ndS1hbmFkb2x1LWZheS1oYXR0aS1oYW5naS1pbGxlcmRlbi1nZWNpeW9yLXJpc2tsaS1kZXByZW0tYm9sZ2VsZXJpLTY5MDQ1MzI?hl=tr&gl=TR&ceid=TR%3Atr
